,qn1d,qn1f,qn1c,qn1h,qn2b,qn4b,qn4c,qn4e,qn1jyear,ui_lpr,ui_work
240,11.0,1,2.5008455467869224,96,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2015.0,13.358652575957727,5.712727272727273
241,42.0,1,1.0,97,1.0,3.0,2.0,1.0,2015.0,2.0,1.0
242,6.0,1,2.5008455467869224,96,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2015.0,13.358652575957727,5.712727272727273
243,47.0,2,3.0,6,6.0,2.0,2.0,1.0,2015.0,1.0,1.0
244,17.0,1,4.0,97,2.0,1.0,2.0,6.0,2015.0,1.0,3.0
245,43.0,1,3.0,1,5.0,2.0,2.0,1.0,2016.0,1.0,1.0
246,6.0,1,2.5008455467869224,22,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2014.0,13.358652575957727,5.712727272727273
247,34.0,2,7.0,22,5.0,2.0,1.0,1.0,2014.0,2.0,1.0
248,12.0,1,2.5008455467869224,22,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2014.0,13.358652575957727,5.712727272727273
249,36.0,2,1.0,22,6.0,1.0,2.0,2.0,2014.0,2.0,3.0
250,13.0,1,2.5008455467869224,6,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2017.0,13.358652575957727,5.712727272727273
251,37.0,2,1.0,6,98.0,2.0,2.0,1.0,2017.0,2.0,1.0
252,45.0,1,1.0,6,5.0,2.0,2.0,1.0,2017.0,1.0,1.0
253,8.0,1,2.5008455467869224,10,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2015.0,13.358652575957727,5.712727272727273
254,2.0,2,2.5008455467869224,10,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2016.0,13.358652575957727,5.712727272727273
255,6.0,2,2.5008455467869224,10,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2015.0,13.358652575957727,5.712727272727273
256,29.0,2,1.0,10,2.0,1.0,1.0,1.0,2015.0,1.0,3.0
257,31.0,1,1.0,10,2.0,3.0,1.0,1.0,2015.0,1.0,1.0
